md-chbi8c	MathDesign-CH-Bold-Italic-TS1-10
md-chbi8t	MathDesign-CH-Bold-Italic-T1-10
md-chbma	MathDesign-CH-Bold-MathDesignSymbolA-10
md-chbmb	MathDesign-CH-Bold-MathDesignSymbolB-10
md-chr7m	MathDesign-CH-Regular-MathItalic-10
md-chr7t5	MathDesign-CH-Regular-OT1-5
md-chr7t6	MathDesign-CH-Regular-OT1-6
md-chr7t7	MathDesign-CH-Regular-OT1-7
md-chr7t8	MathDesign-CH-Regular-OT1-8
md-chr7t9	MathDesign-CH-Regular-OT1-9
md-chr7t	MathDesign-CH-Regular-OT1-10
md-chr7v	MathDesign-CH-Regular-Extension-10
md-chr7y	MathDesign-CH-Regular-Symbol-10
md-chr8c	MathDesign-CH-Regular-TS1-10
md-chr8d	MathDesign-CH-Regular-MathDesignSymbolA-10
md-chr8t	MathDesign-CH-Regular-T1-10
md-chree	MathDesign-CH-Regular-10
md-chri7m	MathDesign-CH-Regular-Italic-MathItalic-10
md-chri7t5	MathDesign-CH-Regular-Italic-OT1-5
md-chri7t6	MathDesign-CH-Regular-Italic-OT1-6
md-chri7t7	MathDesign-CH-Regular-Italic-OT1-7
md-chri7t8	MathDesign-CH-Regular-Italic-OT1-8
md-chri7t9	MathDesign-CH-Regular-Italic-OT1-9
md-chri7t	MathDesign-CH-Regular-Italic-OT1-10
md-chri8c	MathDesign-CH-Regular-Italic-TS1-10
md-chri8t	MathDesign-CH-Regular-Italic-T1-10
md-chrma	MathDesign-CH-Regular-MathDesignSymbolA-10
md-chrmb	MathDesign-CH-Regular-MathDesignSymbolB-10
md-gmm7m	MathDesign-GM-Medium-MathItalic-10
md-gmm7t	MathDesign-GM-Medium-OT1-10
md-gmm7v	MathDesign-GM-Medium-Extension-10
md-gmm7y	MathDesign-GM-Medium-Symbol-10
md-gmm8c	MathDesign-GM-Medium-TS1-10
md-gmm8t	MathDesign-GM-Medium-T1-10
md-gmmi7m	MathDesign-GM-Medium-Italic-MathItalic-10
md-gmmi7t	MathDesign-GM-Medium-Italic-OT1-10
md-gmmi8c	MathDesign-GM-Medium-Italic-TS1-10
md-gmmi8t	MathDesign-GM-Medium-Italic-T1-10
md-gmmma	MathDesign-GM-Medium-MathDesignSymbolA-10
md-gmmmb	MathDesign-GM-Medium-MathDesignSymbolB-10
md-gmr7m	MathDesign-GM-Regular-MathItalic-10
md-gmr7t	MathDesign-GM-Regular-OT1-10
md-gmr7v	MathDesign-GM-Regular-Extension-10
md-gmr7y	MathDesign-GM-Regular-Symbol-10
md-gmr8c	MathDesign-GM-Regular-TS1-10
md-gmr8t	MathDesign-GM-Regular-T1-10
md-gmri7m	MathDesign-GM-Regular-Italic-MathItalic-10
md-gmri7t	MathDesign-GM-Regular-Italic-OT1-10
md-gmri8c	MathDesign-GM-Regular-Italic-TS1-10
md-gmri8t	MathDesign-GM-Regular-Italic-T1-10
md-gmrma	MathDesign-GM-Regular-MathDesignSymbolA-10
md-gmrmb	MathDesign-GM-Regular-MathDesignSymbolB-10
md-utb7m	MathDesign-UT-Bold-MathItalic-10
md-utb7t	MathDesign-UT-Bold-OT1-10
md-utb7v	MathDesign-UT-Bold-Extension-10
md-utb7y	MathDesign-UT-Bold-Symbol-10
md-utb8c	MathDesign-UT-Bold-TS1-10
md-utb8t	MathDesign-UT-Bold-T1-10
md-utbi7m	MathDesign-UT-Bold-Italic-MathItalic-10
md-utbi7t	MathDesign-UT-Bold-Italic-OT1-10
md-utbi8c	MathDesign-UT-Bold-Italic-TS1-10
md-utbi8t	MathDesign-UT-Bold-Italic-T1-10
md-utbma	MathDesign-UT-Bold-MathDesignSymbolA-10
md-utbmb	MathDesign-UT-Bold-MathDesignSymbolB-10
md-utr7m	MathDesign-UT-Regular-MathItalic-10
md-utr7t	MathDesign-UT-Regular-OT1-10
md-utr7v	MathDesign-UT-Regular-Extension-10
md-utr7y	MathDesign-UT-Regular-Symbol-10
md-utr8c	MathDesign-UT-Regular-TS1-10
md-utr8t	MathDesign-UT-Regular-T1-10
md-utri7m	MathDesign-UT-Regular-Italic-MathItalic-10
md-utri7t	MathDesign-UT-Regular-Italic-OT1-10
md-utri8c	MathDesign-UT-Regular-Italic-TS1-10
md-utri8t	MathDesign-UT-Regular-Italic-T1-10
md-utrma	MathDesign-UT-Regular-MathDesignSymbolA-10
md-utrmb	MathDesign-UT-Regular-MathDesignSymbolB-10
msam10	MSAM10
msam5	MSAM5
msam7	MSAM7
msbm10	MSBM10
msbm5	MSBM5
msbm7	MSBM7
n019003l	NimbusSanL-Regu
n019004l	NimbusSanL-Bold
n019023l	NimbusSanL-ReguItal
n019024l	NimbusSanL-BoldItal
n019043l	NimbusSanL-ReguCond
n019044l	NimbusSanL-BoldCond
n019063l	NimbusSanL-ReguCondItal
n019064l	NimbusSanL-BoldCondItal
n021003l	NimbusRomNo9L-Regu
n021004l	NimbusRomNo9L-Medi
n021023l	NimbusRomNo9L-ReguItal
n021024l	NimbusRomNo9L-MediItal
n022003l	NimbusMonL-Regu
n022004l	NimbusMonL-Bold
n022023l	NimbusMonL-ReguObli
n022024l	NimbusMonL-BoldObli
nab10	Archaic-Nabatean
oandsi10	Archaic-OandS-Italic
oandsu10	Archaic-OandS
omding	OmegaDingbats
omsea1b	OmegaSerifArabicOne-Bold
omsea1	OmegaSerifArabicOne
omsea2b	OmegaSerifArabicTwo-Bold
omsea2	OmegaSerifArabicTwo
omsea3b	OmegaSerifArabicThree-Bold
omsea3	OmegaSerifArabicThree
omsecobi	OmegaSerifCommon-BoldItalic
omsecob	OmegaSerifCommon-Bold
omsecoi	OmegaSerifCommon-Italic
omseco	OmegaSerifCommon
omsecx	OmegaSerifCyrillicExtended
omsecyb	OmegaSerifCyrillic-Bold
omsecyi	OmegaSerifCyrillic-Italic
omsecy	OmegaSerifCyrillic
omsegrbi	OmegaSerifGreek-BoldItalic
omsegrb	OmegaSerifGreek-Bold
omsegri	OmegaSerifGreek-Italic
omsegr	OmegaSerifGreek
omseha	OmegaSerifArmenian
omsehe	OmegaSerifHebrew
omseip	OmegaSerifIPA
omselabi	OmegaSerifLatin-BoldItalic
omselab	OmegaSerifLatin-Bold
omselai	OmegaSerifLatin-Italic
omsela	OmegaSerifLatin
omseti	OmegaSerifTifinagh
omssti	OmegaSansTifinagh
opens___	OpenSymbol
p052003l	URWPalladioL-Roma
p052004l	URWPalladioL-Bold
p052023l	URWPalladioL-Ital
p052024l	URWPalladioL-BoldItal
pcrb8a	Courier-Bold
pcrbi8a	Courier-BoldItalic
pcrbo8a	Courier-BoldItalic
pcri8a	Courier-Italic
pcrr8a	Courier
pcrro8a	Courier-Italic
phnc10	Archaic-Phoenician
pmhg	Archaic-Poor-Mans-Hieroglyphs
proto10	Archaic-ProtoSemitic
putb8a	Utopia-Bold
putbi8a	Utopia-BoldItalic
putr8a	Utopia-Regular
putri8a	Utopia-Italic
pxbexa	Pxbexa
pxbex	Pxbex
pxbmia	Pxbmia
pxbsya	Pxbsya
pxbsyb	Pxbsyb
pxbsyc	Pxbsyc
pxbsy	Pxbsy
pxexa	Pxexa
pxex	Pxex
pxmia	Pxmia
pxsya	Pxsya
pxsyb	Pxsyb
pxsyc	Pxsyc
pxsy	Pxsy
rpcxbi	Rpcxbi
rpcxb	Rpcxb
rpcxi	Rpcxi
rpcxr	Rpcxr
rpxbi	Rpxbi
rpxbmi	Rpxbmi
